SKU,Description,Inventory €,Annual Demand €,Lead Time days,Safety Stock €
WH-CH-02F,Connector Housing 2-Pin Female,2600,19500,50,3300
WH-CH-02M,Connector Housing 2-Pin Male,2550,19200,50,3250
WH-CH-03F,Connector Housing 3-Pin Female,2900,21800,52,3700
WH-CH-03M,Connector Housing 3-Pin Male,2850,21500,52,3650
WH-CH-06F,Connector Housing 6-Pin Female,3400,25600,55,4300
WH-CH-06M,Connector Housing 6-Pin Male,3350,25200,55,4250
WH-CH-08F,Connector Housing 8-Pin Female,3700,27800,,4700
WH-CH-12F,Connector Housing 12-Pin Female,4100,30900,58,5200
WH-CH-16F,Connector Housing 16-Pin Female,4600,34600,60,5800
WH-CH-24F,Connector Housing 24-Pin Female,5300,39800,62,6700
WH-CH-06F,Connector Housing 6-Pin Female,900,6800,55,1100
WH-TP-VNL-BLK,Vinyl Tape Black 19mm,1900,14200,35,2400
WH-TP-VNL-YEL,Vinyl Tape Yellow 19mm,1200,9000,35,1600
WH-TP-CLOTH,Cloth Tape 19mm,2600,19500,32,3300
WH-TP-FELT,Felt Tape 19mm,1500,11200,30,1900
WH-TP-FOAM-LOCAL,Foam Tape (local supplier),800,6000,0,1000
WH-CT-06,Corrugated Tube Ø6mm,1400,10500,45,1800
WH-CT-08,Corrugated Tube Ø8mm,1700,12800,45,2200
WH-CT-10,Corrugated Tube Ø10mm,2100,15700,48,2700
WH-CT-13,Corrugated Tube Ø13mm,2600,19600,48,3300
WH-CT-17,Corrugated Tube Ø17mm,3100,23300,50,4000
WH-CT-22,Corrugated Tube Ø22mm,3700,27800,52,4700
WH-CTIE-100,Cable Tie 100mm,700,5200,30,900
WH-CTIE-150,Cable Tie 150mm,900,6800,30,1150
WH-CTIE-200,Cable Tie 200mm,1100,8200,32,1400
WH-CTIE-300,Cable Tie 300mm,1300,9700,35,1650
WH-CTIE-EDGE,Edge Clip Cable Tie,850,6400,33,1100
WH-CL-PCLIP-S,P-Clip Small,950,7100,40,1200
WH-CL-PCLIP-L,P-Clip Large,1150,8600,40,1450
WH-CL-EDGE,Edge Clip,1000,7500,38,1300
WH-CL-ADH,Adhesive Mount Clip,1250,9400,42,1600
WH-CL-HARN,Harness Routing Clip,1400,10500,42,1800
WH-GR-20,Rubber Grommet Ø20mm,1100,8300,45,1450
WH-GR-25,Rubber Grommet Ø25mm,1300,9800,45,1700
WH-GR-30,Rubber Grommet Ø30mm,1600,12000,48,2100
WH-GR-FIREWALL,Firewall Pass-Through Grommet,2100,15800,50,2700
WH-GR-DOOR,Door Boot Grommet,1800,13500,48,2300
WH-SP-050,Splice Connector 0.5mm²,700,5300,38,900
WH-SP-125,Splice Connector 1.25mm²,850,6400,38,1100
WH-SP-200,Splice Connector 2.0mm²,1000,7500,40,1300
WH-SP-300,Splice Connector 3.0mm²,1200,9000,42,1550
WH-SL-SINGLE,Single Wire Seal,900,6800,40,1150
WH-SL-MAT-06,Mat Seal 6-Cavity,1300,9700,42,1650
WH-SL-MAT-12,Mat Seal 12-Cavity,1600,12000,45,2050
WH-SL-CAP,Cavity Plug Seal,750,5600,38,950
WH-SL-GROMMET,Connector Grommet Seal,1100,8200,42,1400
WH-RLY-HDLMP,Headlamp Relay,3200,24000,60,4100
WH-RLY-FUELP,Fuel Pump Relay,3600,27000,62,4600
WH-RLY-HORN,Horn Relay,2400,18000,58,3100
WH-RLY-AC,A/C Compressor Relay,3900,29300,65,5000
WH-RLY-STARTER,Starter Relay,3100,23200,60,4000
WH-FUS-05A,Blade Fuse 5A,900,6800,45,1150
WH-FUS-075A,Blade Fuse 7.5A,950,7200,45,1200
WH-FUS-10A,Blade Fuse 10A,1100,8400,45,1400
WH-FUS-15A,Blade Fuse 15A,1250,9500,48,1600
WH-FUS-20A,Blade Fuse 20A,1400,10600,48,1800
WH-FUS-30A,Blade Fuse 30A,1600,12100,50,2050
WH-FUS-LINK,Fusible Link 40A,1800,13600,55,2300
